	GVHD_Control_TP1	GVHD_Control_TP1.1	GVHD_Antibiotics_TP1	GVHD_Antibiotics_TP1.1	GVHD_Antibiotics_TP1.2	GVHD_Antibiotics_TP1.3	GVHD_Antibiotics_TP1.4	GVHD_Antibiotics_TP1.5	GVHD_Antibiotics_TP1.6	BM_Antibiotics_TP1	BM_Antibiotics_TP1.1	BM_Antibiotics_TP1.2	BM_Control_TP1	BM_Control_TP1.1	BM_Control_TP1.2	GVHD_Control_TP2	GVHD_Control_TP2.1	GVHD_Control_TP2.2	GVHD_Control_TP2.3	GVHD_Antibiotics_TP2	GVHD_Antibiotics_TP2.1	GVHD_Antibiotics_TP2.2	GVHD_Antibiotics_TP2.3	GVHD_Antibiotics_TP2.4	BM_Antibiotics_TP2	BM_Antibiotics_TP2.1	BM_Antibiotics_TP2.2	BM_Control_TP2	BM_Control_TP2.1	GVHD_Control_TP3	GVHD_Control_TP3.1	GVHD_Antibiotics_TP3	GVHD_Antibiotics_TP3.1	GVHD_Antibiotics_TP3.2	GVHD_Antibiotics_TP3.3	GVHD_Antibiotics_TP3.4	GVHD_Antibiotics_TP3.5	GVHD_Antibiotics_TP3.6	BM_Antibiotics_TP3	BM_Antibiotics_TP3.1	BM_Antibiotics_TP3.2	BM_Control_TP3	BM_Control_TP3.1	Steady_state_TP2	Steady_state_TP2.1	Steady_state_TP3	GVHD_Control_TP4	GVHD_Control_TP4.1	GVHD_Antibiotics_TP4	GVHD_Antibiotics_TP4.1	GVHD_Antibiotics_TP4.2	GVHD_Antibiotics_TP4.3	GVHD_Antibiotics_TP4.4	GVHD_Antibiotics_TP4.5	BM_Antibiotics_TP4	BM_Antibiotics_TP4.1	BM_Antibiotics_TP4.2	BM_Control_TP4
zOTU_203	0	0	0	0	0	0	0	0	0	0	0	0	0.108766586904503	0	0.164458656920968	0	0.369147075966582	0	0.012134449702706	0	0	0	0	0	0	0	0	0.0652060511215441	0.216342153436512	0.340562824879011	0.0548747027620267	0	0	0	0	0	0	0	0	0	0	0.253671562082777	0	0	0	0	0.0328515111695138	0.208768267223382	0	0	0	0	0	0	0	0	0	0.582241630276565
zOTU_206	0	0	0	0	0	0	0	0	0	0	0	0	0.0543832934522515	0.128134724510342	0.210141617176793	0.0919751667049896	0.0097143967359627	0.52260573650948	0.594588035432593	0	0	0	0	0	0	0	0	0.0260824204486176	0.36611749043102	0	0	0	0	0	0	0	0	0	0	0	0	0.0133511348464619	0	0	0.192442267319804	0.136558720249707	0	0	0	0	0	0	0	0	0	0	0	0.0646935144751739
zOTU_207	0.0428192172647084	0	0	0	0	0	0	0	0	0	0	0	0.0870132695236023	0.0366099212886692	0	0	0.184573537983291	0.121536217792902	0.0364033491081179	0	0	0	0	0	0	0	0	0	0	0.0179243592041585	0.0365831351746845	0	0	0	0	0	0	0	0	0	0	0.146862483311081	0	0.0452898550724638	0.139958012596221	0	0.197109067017083	0.0974251913709116	0	0	0	0	0	0	0	0	0	0
zOTU_208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0689813750287422	0	0.157997083130773	0	0	0	0	0	0	0	0	0	0	0	0	0.0182915675873422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_209	0	0	0	0	0	0	0	0	0	0	0	0	0.554709593212965	0	0	0	0	0.0121536217792902	0.509646887513651	0	0	0	0	0	0	0	0	0	0.0499251123315027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278357689631176	0	0	0	0	0	0	0	0	0	0.339640950994663
zOTU_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0364608653378707	0.533915786919063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0801068090787717	0	0	0	0.117050331642606	0	0	0	0	0	0	0	0	0	0	0	0.258774057900695
zOTU_211	0	0	0	0	0	0	0	0	0	0	0	0	0.141396562975854	0	0	0.0919751667049896	0	0.498298492950899	0.995024875621891	0	0	0	0	0	0	0	0	0	0.18305874521551	0	0	0	0	0	0	0	0	0	0	0	0	0.0934579439252336	0	0.0150966183574879	0.0174947515745276	0.0585251658213032	0.0328515111695138	0	0	0	0	0	0	0	0	0	0	0.129387028950348
zOTU_212	0.00856384345294168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0179243592041585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_214	0	0	0	0	0	0	0	0	0	0	0	0	0.0108766586904503	0.0732198425773385	0.00913659205116491	0	0	0.0972289742343218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0524842547235829	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_215	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0915248032216731	0.0182731841023298	0	0.0485719836798135	0	0	0	0	0	0	0	0	0	0	0.286906624934794	0	0	0.0182915675873422	0	0	0	0	0	0	0	0	0	0	0	0.130718954248366	0.256642512077295	0.437368789363191	0.0390167772142021	0.394218134034166	0.222686151704941	0	0	0	0	0	0	0	0	0	0.0808668930939673
zOTU_216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400534045393858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161733786187935
