	BM																		GVHD																																								
	Antibiotics										Control								Antibiotics																								Control													Steady State			
	TP1			TP2			TP3			TP4	TP1			TP2		TP3		TP4	TP1							TP2				TP3							TP4						TP1					TP2				TP3		TP4		TP2		TP3	Total
g__Corynebacterium	2.057752753	0	16.65945478	0	7.231820008	6.590198123	0	0	0.250110726	0	0.023006135	0.022368029	0	0	0.109844844	0.003893475	0	0	0	0.05444759	0	0.562907367	0.009464767	0	0.319689998	1.13242306	2.756612635	0.86540232	0	0	0.054141185	0.283360907	0	0	0	6.945310286	0	0	0	0	0	0	0	0.007947072	0.009714515	0.067589314	0	0	0	0	0	0	0	0	0	0.003277721	0	0	46.02073761
g__Aridibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.95807128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.95807128
g__Mammaliicoccus	0.097234471	0.139249558	0	0	0	0	0	0	0	0.001921562	0.003834356	0.082016105	0.121308458	0.092216894	0.006865303	0.007786949	0.029461589	0	0.39412397	0.332908124	1.435509984	0.003950227	0	0	0	2.11313394	0	0.018412815	0	0.03827618	0	0	0	0	0	0	0.003689084	0	0	0	0	0	2.22557191	7.25567719	5.794708018	8.773736724	0.592990954	0.09243568	0.059564329	2.007567466	1.718028081	0.007228567	0	0.023904763	0.303341024	0.003277721	0	0	33.779932
g__unidentified	0.045225335	0.022581009	9.205971441	0	0.096424267	0	0.192812603	0.171074533	0.00521064	0.011529371	0.019171779	0.551744706	1.33857609	0.165990409	0.034326514	0.003893475	0	0	0.001990525	0.001555645	0	0.130357496	0.018929535	0.036064465	1.685638169	1.137841352	0.438425239	0.036825631	4.664570231	0.207039337	0.436820928	0.195360625	0.314520123	0.211758844	0.213432235	1.802210258	0	0.001193645	0	0.001372345	0	0.002154081	0.014186913	0.355631494	0.171218322	0.21081429	0	0.015405947	0.178692988	0.078176303	0	0	0.023100023	0.004780953	0.42296847	0.278606313	0.611888112	0.13421545	25.90227846
g__Noviherbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.111614364	0	0	0	0	0	15.77017279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.88178715
g__Streptococcus	0	3.511346957	5.441367373	0.630119723	0	0	0	0.001541212	0	0	0.038343558	0	0	0	0	0	0	0	0	0.015556454	0.056664868	0	0	1.582328412	7.742794866	0	0.323519896	0.368256306	0	0.113088714	0	0	0	0.007117944	0.069977782	0	0	0	0	0	0	0.03015714	0	0	0	0.033794657	0	0	0	0	0.004485713	0	0	0	0	0	0	0.001355712	19.97181729
g__Paracoccus	0	0	0	14.03591682	0	0	1.118586588	0	0.01563192	0.267097097	0	0	0	0	0	0	0.007365397	0.001137876	0	0.024890327	0	0.286391468	1.747827047	0.531950862	0	0	0.90585571	0	0	0	0	0.308000986	0	0.030251263	0	0	0	0.00477458	0	0.009606412	0	0.003231122	0	0	0	0.004827808	0	0	0	0	0	0	0	0	0.025634453	0	0	0	19.32897774
g__Pseudomonas	0	0	0	0	0	0	0	0.040071512	0	0	0.088190184	0.096928124	0.008366101	0	0.006865303	0	0	0	0	0	0	0	0.001577461	0	0	0.070437798	4.48911746	0	0	0	0	0.007040023	0	0	0.316649464	12.64380844	0	0.005968225	0	0	0	0.012924489	0	0	0	0.074026392	0	0	0	0	0	0	0	0	0	0	0	0	17.86197098
g__Cloacibacterium	0	0	11.32085677	0	0	0	0.370583087	0.428456939	0	0	0.026840491	0	0	0	0.020595908	0	0	0	0	0	0	0.264665218	0	0	0.014531364	0	0	0	0	0	0	0	0	0	0	0	0	0.003580935	0.001049825	0	0	0	0	0	0.004857257	0.10621178	0	0	0	0	0	0	0	0	0	0	0	0	12.56222958
g__Halopseudomonas	0.208036542	0	0	0	0	0	0	0.123296961	0	0	0	0	0.020915251	0	0	0	0	0	0	0	0	1.412206202	0	0	1.913296198	0.081274382	1.574091634	6.278770024	0	0	0	0.001760006	0.048181806	0	0.013995556	0.328705016	0	0	0	0	0	0.028003059	0.001773364	0.013907377	0	0	0	0	0	0.015635261	0	0	0	0.001593651	0	0	0	0.004067135	12.06950942
