	Mouse_6.8	Mous_12.8	Mous_21.8	Mouse_24.8	Mouse_26.8	Mouse_27.8	Mouse_28.8	Mouse_34.8	Mouse_37.8	Mouse_49.8	Mouse_52.8	Mouse_56.8	Mouse_65.8	Mouse_66.8	Mouse_67.8	Mouse_8.8	Mouse_9.8	Mouse_15.8	Mouse_19.8	Mouse_22.8	Mouse_23.8	Mouse_25.8	Mouse_29.8	Mouse_30.8	Mouse_53.8	Mouse_54.8	Mouse_55.8	Mouse_70.8	Mouse_71.8	Mouse_1.8	Mouse_5.8	Mouse_31.8	Mouse_32.8	Mouse_33.8	Mouse_36.8	Mouse_38.8	Mouse_39.8	Mouse_40.8	Mouse_50.8	Mouse_51.8	Mouse_57.8	Mouse_63.8	Mouse_64.8	Mouse_0.8	Mouse_0.16	Mouse_0.24	Mouse_7.8	Mouse_10.8	Mouse_41.8	Mouse_42.8	Mouse_43.8	Mouse_45.8	Mouse_46.8	Mouse_47.8	Mouse_58.8	Mouse_59.8	Mouse_60.8	Mouse_62.8
zOTU_829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105084334425434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454513645906228	0.67577058134998	2.27595269382392	0.241057759220598	0	0	0	0	0	0	0	0	0	0
zOTU_83	5.56221632268562	0.103638104356151	0	0	0	0	0	0	0	0	0	0	9.04241896889276	3.17041918359876	14.8751027866606	1.39388365141412	2.43967359626967	3.89426349052018	1.26101201310521	0	0	0	0	0	0	0	0	2.25873761085029	0.72058578798469	1.55224950708012	2.85128955551491	0	0	0	0	0	0	0	0	0	0	0.578104138851802	1.98104575163399	4.44504830917874	3.93911826452064	1.18259851736247	0.426741130091984	0.120528879610299	0	0	0	0	0	0	0	0	0	0.98043021187126
zOTU_831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225873761085029	0	0	0.158404975306384	0	0	0	0	0	0	0	0	0	0	0	0	0.130736714975845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151504548635409	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630506006552603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19625438938744	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_840	0	0	0	0	0	0	0	0	0	0	0	0	0.282575592777899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151504548635409	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_841	0	0	0	0	0	0	0	0	0	0	0	0	0.847726778333696	0.634083836719751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72708187543737	0	0	2.16951983298539	0	0	0	0	0	0	0	0	0	0
zOTU_844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454513645906228	0	0	0	0	0	0	0	0	0	0	0	0	0
