Group,SubGroup,TimePoint,Limosilactobacillus,Enterococcus,Ligilactobacillus,Klebsiella,Lactobacillus,Cutibacterium,unclassified_Enterobacteriaceae,Staphylococcus,Corynebacterium,Aridibacter,Mammaliicoccus,NA,Noviherbaspirillum,Streptococcus,Paracoccus,Pseudomonas,Cloacibacterium,Halopseudomonas,Brevundimonas,Kocuria,Micrococcus,Faecalibaculum,Salinicoccus,Pseudoxanthomonas,Acinetobacter
GVHD,Antibiotics,2,18.79804333,0.0174703,5.590496157,0.541579315,25.78616352,9.503843466,0.139762404,0,0,34.95807128,0,4.664570231,0,0,0,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,3,0.908189363,0.817718392,1.080432173,74.67682725,1.567583555,0.012178785,20.32813125,0.250534997,0,0,0.03827618,0.207039337,0,0.113088714,0,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,3,3.260775942,0.077520334,1.020069153,71.75060601,2.576628235,0.90194293,19.43299413,0.125509112,0.054141185,0,0,0.436820928,0,0,0,0,0,0,0.007382889,0,0,0,0,0,0
GVHD,Antibiotics,3,0.614241966,0.005280017,0.052800169,74.10855715,0.682882185,0.344961104,22.0317505,0.376641205,0.283360907,0,0,0.195360625,0,0,0.308000986,0.007040023,0,0.001760006,0,0.010560034,0,0,0,0,0
GVHD,Antibiotics,3,0.200757525,1.912550022,0.001338384,60.19513631,2.050403523,3.649771806,15.33787491,0.488509978,0,0,0,0.314520123,15.77017279,0,0,0,0,0.048181806,0,0,0,0,0,0,0
GVHD,Antibiotics,3,0.247348566,0.229553705,0.21353833,75.32386647,0.724250836,0.017794861,22.97494484,0.019574347,0,0,0,0.211758844,0,0.007117944,0.030251263,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,3,0.124210563,0.309651686,0.022742779,75.59699795,0.404121691,0.40762058,22.16896135,0.129458897,0,0,0,0.213432235,0,0.069977782,0,0.316649464,0,0.013995556,0,0,0.013995556,0,0,0,0.052483337
GVHD,Antibiotics,3,0,1.292150751,0.002833664,38.85803344,5.834514027,10.34854066,12.39727968,2.836497591,6.945310286,0,0,1.802210258,0,0,0,12.64380844,0,0.328705016,0,0,0.286200057,0,0,0,0
GVHD,Antibiotics,4,41.34356439,0.004918779,57.40583613,0.252087407,0.641900616,0.066403512,0.050417481,0.003689084,0,0,0.003689084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,4,69.23618654,0.00238729,29.04854554,1.193645034,0.088329733,0.019098321,0.312734999,0.010742805,0,0,0,0.001193645,0,0,0.00477458,0.005968225,0.003580935,0,0,0,0,0,0,0,0
